ean13,source
1300000000055,openfacts
1300103000006,item_master
1300106000003,item_master
1300125000008,item_master
1300129000004,item_master
1300131345605,item_master
1300200002682,item_master
1300406852456,openfacts
1300416092408,openfacts
1300510001771,openfacts
1300606606521,openfacts
1300616092406,openfacts
1300697255097,openfacts
1301006671065,openfacts
1301010203412,item_master
1301010203818,item_master
1301010233518,item_master
1301010233617,item_master
1301010233716,item_master
1301010233815,item_master
1301010233914,item_master
1301010310004,openfacts
1301016092409,openfacts
1301020028111,item_master
1301020028319,item_master
1301020041516,item_master
1301035307232,openfacts
1301065735302,openfacts
1301065738228,openfacts
1301171070007,openfacts
1301201002268,openfacts
1301201706609,item_master
1301201707019,item_master
1301201707040,item_master
1301216092407,openfacts
1301301301308,openfacts
1301416092405,openfacts
1301448890000,openfacts
1301459490381,openfacts
1301600008007,item_master
1301639902567,openfacts
1301647590008,openfacts
1302008802006,item_master
1302010167216,item_master
1302010167315,item_master
1302010211117,item_master
1302010211216,item_master
1302010211315,item_master
1302010211513,item_master
1302010211612,item_master
1302010212114,item_master
1302010212213,item_master
1302010212312,item_master
1302010212411,item_master
1302010212916,item_master
1302010213210,item_master
1302010213319,item_master
1302010213517,item_master
1302010213616,item_master
1302016480005,openfacts
1302016720002,openfacts
1302017001674,openfacts
1302020122212,item_master
1302020168913,item_master
1302020169316,item_master
1302020169415,item_master
1302020190617,item_master
1302050041613,item_master
1302050041712,item_master
1302050041811,item_master
1302063060007,openfacts
1302113220009,item_master
1302190350002,openfacts
1302263140004,openfacts
1302288170000,openfacts
1302362660007,openfacts
1302371760002,openfacts
1302371810004,openfacts
1302406000875,openfacts
1302432760002,openfacts
1302644000002,openfacts
1302881040007,openfacts
1302959200005,openfacts
1302969000015,openfacts
1303019640007,openfacts
1303058010007,openfacts
1303088660005,openfacts
1303100000536,item_master
1303102230009,openfacts
1303118830002,openfacts
1303135003632,openfacts
1303202000052,openfacts
1303202270004,openfacts
1303242390007,openfacts
1303296005391,openfacts
1303337034328,openfacts
1303352660007,openfacts
1303405450005,openfacts
1303433702459,openfacts
1303478580005,openfacts
1303512800007,openfacts
1303526003210,openfacts
1303742910002,openfacts
1303749220005,openfacts
1303847420000,openfacts
1303945622337,openfacts
1304055320007,openfacts
1304202300012,openfacts
1304257000004,item_master
1304260003054,openfacts
1304340300004,openfacts
1304376890005,openfacts
1304385453154,openfacts
1304567890128,openfacts
1304607156436,openfacts
1304731110007,openfacts
1304783830007,openfacts
1304783970000,openfacts
1304793110007,openfacts
1304799380008,openfacts
1304831100007,openfacts
1304840150000,openfacts
1305020012019,item_master
1305020012118,item_master
1305020012217,item_master
1305020014914,item_master
1305202000018,openfacts
1305243990002,openfacts
1305247520007,openfacts
1305311250007,openfacts
1305317950000,openfacts
1305366351650,openfacts
1305463390002,openfacts
1305480600009,openfacts
1305495004854,openfacts
1305550102006,openfacts
1305550203000,openfacts
1305571580005,openfacts
1305900863496,openfacts
1305993053583,openfacts
1306010010213,item_master
1306010010312,item_master
1306010010411,item_master
1306010010510,item_master
1306010010619,item_master
1306010010718,item_master
1306010010817,item_master
1306010010916,item_master
1306010011012,item_master
1306010020717,item_master
1306110015972,openfacts
1306111191040,openfacts
1306261136212,openfacts
1306388911198,openfacts
1306451607416,openfacts
1306461800203,openfacts
1306461800999,openfacts
1306461801972,openfacts
1306461804447,openfacts
1306461804546,openfacts
1306461804799,openfacts
1306461804942,openfacts
1306461805390,openfacts
1306461805543,openfacts
1306461805925,openfacts
1306488000020,openfacts
1306858090040,openfacts
1306884032366,openfacts
1307170071618,openfacts
1307206003996,openfacts
1307403218216,openfacts
1307444375565,openfacts
1307504440004,openfacts
1307638363637,openfacts
1307700324276,openfacts
1308124000111,openfacts
1308201812347,item_master
1308201812354,item_master
1308201812439,item_master
1308202523297,openfacts
1308202523457,openfacts
1308202523563,openfacts
1308362011382,openfacts
1308370003386,openfacts
1308374794457,openfacts
1308441601558,openfacts
1308462754851,openfacts
1308858023141,openfacts
1309833200007,openfacts
1309977011088,openfacts
