ean13,description,created_at,modified_at
9210000002237,Bocconcini del re,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9210004200011,Sabine’s hofküche Sonnenscheinchen 360g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9210160017096,Choux fleur,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9210190207924,Carrefour Brioche nature,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9210290015337,Carrefour Bii,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9210290117765,Carrefour Noir 74%,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9210290118717,Carrefour Bio Boisson au soja nature,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9210491216311,Bio Pommes Gala,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9210675931191,Casino Brioche tranchée,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9210891009193,Stew Leonard's Stew's Naked Beef,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9210891010496,Stew Leonard's Naked Beef Ground Sirloin 90% Lean,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9211031313057,Sublime myrtille,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9211100178655,Bio Village Allumettes Bacon,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9211121716041,Hiper Dino Mantequilla,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9211180289012,Chicken and bacon pasty,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9211202316108,Brie ost,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9211229490102,Gallia Diargal 400 g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9211422040906,Madeleines Nature,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9211579211600,Martin Glaces,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9211602145445,شنينه نعناع كاني,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9211851551554,Rodzynki,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9212088302520,Алан Шинка Особлива Куряча,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9212172875480,Sodebo Sandwich. Jambon. Emmental,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9212372470027,Nestlé Up vittel,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9212456010095,Pesto di Pistaccio 90 g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9212456012846,Brunia Cucunci 1pcs,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9212519032477,Savencia Petit Tourtain 160g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9212520016886,Fromagerie milleret L’ortolan bio,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9212581234564,Pink tea mixer,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9212717002258,Croustillants,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9212739144875,Great value Wonton strips,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9212780001837,Neuhauser Pain spécial avec levain 500 g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9213030001294,Premium sliced bacon,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9213220133989,Yaourt nature bio,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9213220541012,Vrai Fromage blanc au lait de brebis bio,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9213260865826,"Saumon Quinoa orge , purée aux légumes verts, sauce framboise",2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9213364003469,Carte Amaury.M294739,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9213372706802,Carte Casino,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9213857001811,Harrys Beau et bon à la farine de seigle,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9214339339590,Vanitea infusion bio,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9214370676333,spécialités à l'épeautre 500g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9214446306126,Chocolat poulain,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9214533299973,Chêne d’argent Emmental,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9214743211222,Palets bretond,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9214945034667,Powerbar Protein + Vegan 42g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9215078186438,Protéine végétale chocolat,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9215114187412,Carrefour Lait ecreme,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9215114480322,Carrefour Tomates séchées au soleil,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9215115031004,Augustin Florent Medoc,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9215164374046,Rana Giovanni,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9215271922192,اكتيفيا لبن طازج كامل الدسم,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9215279758144,TrueScan automated test TrueScan OFF connectivity test 2026-05-02T00:44:41Z,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9215461001140,La Belle Chaurienne Cassoulet au canard,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9215714575961,Knocki carrefour,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9215824705395,Frosted Flakes Organic Simple Truth 15 oz,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9216025042081,U Haricots blancs à la tomate,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9216025736300,Lait demi écrémé,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9216025738519,Purée douce saveur,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9216120362411,U bio Pêche,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9216121142104,U Pois Chiches,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9216124036219,Spécialité à diluer citron,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9216141614254,carrefour mayonnaise,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9216519516418,Carrefour Pavé crf bio 500g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9216550597421,Carrefour Bio Frangipane pur beurre,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9216556229760,entremet chocolat,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9216628184119,Haricots blancs cuisinés à l'auvergnate,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9216730441247,Penny Schmelzkäse Toast 250g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9216941373412,Passion Pop Original Passionfruit 750mL 750 mL,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9217331621632,La belle étoile Cancoillotte au vin jaune 200 g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9217771470005,Carrefour Microfiltré,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9217908814382,Bo Kho,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9218161448321,Raoul Gey pruneaux d\'Agen dénoyautés géant 33/44,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9218361429083,Le carré - Belle France,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9218628052849,Les croquantes blé complet,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9218714616016,Milsa Volle melk-lait entier,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9218970185622,Malo Yaourt au lait entier Noix de coco,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9219130101216,Fortwenger Pains d’épices Langues glacées 175 g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9219130104255,Fortwenger Gâteau de noel,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9219248122141,Ariix Reviive,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9219296500502,votamoni pur jus orange,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9219810005063,Soyciss fumées,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9219979202112,Protein crunchy caramel bar,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
