ean13,description,created_at,modified_at
8290010530006,סינטה בלדי דק,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290064220977,מעדני מלך ביסקוויט מצופה לצי ירח,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290077363500,"""Nitzat HaDuvdevan"" Cashew Puree Cold Pressed",2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290162793878,sodastream cola 500 ml,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290174477254,יטבתה משקה קפה עם חלבון חלב PRO,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290191016269,La Vie Claire Noix d’Amazonie,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290191018522,La cie claire Vinaigre de cidre,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290191110011,La vie claire Amandes pralinées,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290191200040,La vie claire Protéine Végétale saveur cacao,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290561003165,Ice Cream Glidal,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290750001675,Albert Ménès Champignons Parmesan Tartinable,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290779003131,Avene thermal spray 300ml,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290950116025,Abbaye de Sept-fons Cacao bio,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290963007587,Green attitude Perles riches en tomates,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290980031183,Le Gaulois Nuggets extra croustillant,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8290980146061,Boudin blanc 300 g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8291067900019,Nutro 2.5g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8291103070881,JACQUET MINI BROWNI HAZELNUT 150 GRAM,2026-09-17T13:43:43Z,2026-09-17T13:43:43Z
8291110001144,Purée crue noix de cajou,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8291211611181,Kara Lait de coco,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
8291216017599,HARIBO HAPPY COLA 80GX3,2026-09-17T13:43:43Z,2026-09-17T13:43:43Z
8291216017612,HARIBO GOLD BEAR 160X3,2026-09-17T13:43:43Z,2026-09-17T13:43:43Z
8291216017636,HARIBO GOLD BEARS 80GX3,2026-09-17T13:43:43Z,2026-09-17T13:43:43Z
8291216017650,HARIBO HAPPY COLA 160GX3,2026-09-17T13:43:43Z,2026-09-17T13:43:43Z
8291321000004,JOANNA LADIES PYJAMA SET 291321,2026-09-17T13:43:43Z,2026-09-17T13:43:43Z
