ean13,description,created_at,modified_at
9794200312803,Marque Repère Tokapi 300 gr,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9794200580318,3 riz complet rouge et noir,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
