ean13,description,created_at,modified_at
6080008012100,Sauce tomate,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080022105130,Couscous,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080022205724,rice crisp,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080022243627,stock cubes,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080022282503,"Aldi King Prawn, Chicken and Chorizo Paella 800g",2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080022540399,wine gums dominion,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080023034200,switz madeira slice,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080024876656,chilli,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080042763716,specially selected sardine fillets in olive oil with lemon 115g drained weight 80g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401322981,Nice small 15g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323018,Nice Salt Vineger 16g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323032,Nice tomato ketchup 16g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323063,NICE,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323087,Nice Chilli,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323100,Nice French cheese,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323117,Nice Lightly salted,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323131,Nice Chicken,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323148,Nice Big,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323162,Nice Paprika,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323193,Nice French cheese,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323360,Nice Chips Paprika 80g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323377,Nice Madium,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323421,Flips,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323469,Frites,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323506,Kitco bites cheddar cheese,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323520,bites,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401323933,cheese balls,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401324008,Nice Tomato Ketchup,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401327771,Natural Potato Chips,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401327962,Nice Chilli,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6080401612334,Nice Salt Vineger,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
