ean13,description,created_at,modified_at
9798846335974,libro,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9798877350472,Buffalo chicken stuffed peppers,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9798885163699,Biblia de niña color morado,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
