ean13,description,created_at,modified_at
9799435420408,Naturale Barra de cereal,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9799449790818,Pain viennois,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9799476353567,Lorraine cola,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
