ean13,description,created_at,modified_at
9787703050730,THE MIDDLE EAST,2026-09-17T13:43:43Z,2026-09-17T13:43:43Z
9787761379620,Smart Good Boost Grenade,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
