ean13,description,created_at,modified_at
9784022283009,Reset Nutrition Vanilla Collagen,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9784093049627,Produit 100,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
