ean13,description,created_at,modified_at
9796201379717,Hans sqnitizer,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9796251379668,CABLE LIGHTNING 100CM PQI,2026-09-17T13:43:43Z,2026-09-17T13:43:43Z
9796251379880,HEADPHONE M5 I-DISCOVERY,2026-09-17T13:43:43Z,2026-09-17T13:43:43Z
