ean13,description,created_at,modified_at
9784522016206,Cedevita Limun Nar,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9784596615190,Intermarché Allumette au fromage,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
