ean13,description,created_at,modified_at
6210019196623,Chocolate dates,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210019196784,Arabian Treatz Kunafa & Pistachio,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210019196791,Mells Burry Kunafa & Pistachio Date Chocolate,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210019196883,Arabian Treatz Kunafa & Pistachio Chocolate,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210023347899,The Family Family 1.5 Liter,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210055371947,Drpolen soda baking soda,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210061010199,Makdous (Aubergines farcies),2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210061010694,Makdus,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210061019307,زيت زيتون البعاج 1 ليتر,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210061032634,Gemischte Gurken Ambe nach irakischer Art,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210062011409,Sahha Kamardine 400 g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210070010111,Rose Fit Crunchy Peanut Butter,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210070115038,ZAHI 30 g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210071900299,Diva Fruit Chew Center Filled 800g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210079855485,AL YATEEM Pomegranate molasses 380g,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210081526106,Delta,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210081688033,Delta Ketchup,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210086014325,tuna 1pcs,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210092322216,Crush,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210092511160,Crush orange,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210101547630,Al Wissam sweets,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
6210120008761,Carrefour Huile d\'olive vierge extra extraite à froid,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
