ean13,description,created_at,modified_at
9787801379627,Fraser Reynolds Chicken Sausage Mac N Cheese,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9787801599407,DAILY READR-CLASSRM LIBRY (62 TIT.),2026-09-17T13:43:43Z,2026-09-17T13:43:43Z
9787807436324,Calendrier de l'Avent,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9787899609873,خميره كيك فلورا,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
