ean13,description,created_at,modified_at
9799309990044,Kacang shadong - Si Cerdik,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9799338135263,Amazing grass greens blend,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
