ean13,description,created_at,modified_at
9799223019609,Fanta,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9799291012021,Dorada 473,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
9799294239197,Pain pur seigle,2026-09-16T17:42:53Z,2026-09-16T17:42:53Z
